name;alternate_url;id;from;to;employer_name;schedule;employment;experience;key_skills
Юрист;https://hh.ru/vacancy/31307461;31307461;69000;69000;Вектор Развития;Полный день;Полная занятость;От 3 до 6 лет;[{'name': 'Арбитражные суды'}, {'name': 'Корпоративное право'}, {'name': 'Составление договоров'}, {'name': 'Налоговое право'}, {'name': 'Мониторинг законодательства'}, {'name': 'Юридический консалтинг'}, {'name': 'Деловое общение'}]
Начальник финансово-экономического отдела;https://hh.ru/vacancy/31654947;31654947;0;60000;ИПО Ю-Питер;Полный день;Полная занятость;От 3 до 6 лет;[]
Водитель такси на авто компании. Оплата от 3000р за 12ч. Ежедневные выплаты. Оплачиваем топливо;https://hh.ru/vacancy/31307272;31307272;98000;138000;Инвест Авто;Полный день;Полная занятость;Нет опыта;[{'name': 'Умение работать с навигатором'}]
Менеджер по закупкам;https://hh.ru/vacancy/31479364;31479364;52000;52000;СВТ;Полный день;Полная занятость;От 3 до 6 лет;[]
Разработчик (Java, Spring);https://hh.ru/vacancy/31302948;31302948;185000;258000;Inca Digital Securities;Удаленная работа;Полная занятость;От 3 до 6 лет;[{'name': 'Java'}, {'name': 'Docker'}, {'name': 'CI/CD'}, {'name': 'Spring Framework'}, {'name': 'Spring Cloud'}, {'name': 'Apache Maven'}]
Диспетчер;https://hh.ru/vacancy/31643013;31643013;29000;29000;Северная-Столица;Полный день;Полная занятость;Нет опыта;[{'name': 'vord'}, {'name': 'PK'}, {'name': 'XL'}, {'name': 'Оперативность'}]
Бухгалтер-кассир;https://hh.ru/vacancy/31653112;31653112;29000;29000;МаксиПост;Сменный график;Полная занятость;От 1 года до 3 лет;[]
Главный бухгалтер;https://hh.ru/vacancy/31586007;31586007;0;90000;Дагмар Лоренц;Полный день;Полная занятость;Более 6 лет;[{'name': 'Управление бухгалтерией'}, {'name': 'Бухгалтерская отчетность'}, {'name': '1C: Бухгалтерия'}, {'name': 'Налоговая отчетность'}, {'name': 'Финансовый контроль'}, {'name': '1С: Предприятие 8'}, {'name': 'Налоговый учет'}, {'name': 'Налоговые проверки'}, {'name': 'Расчет заработной платы'}, {'name': 'Отчетность в ФСС'}, {'name': 'Отчетность в ПФР'}, {'name': 'Банк-клиент'}, {'name': 'Годовой баланс'}, {'name': 'Финансовая отчетность'}, {'name': 'Финансовое планирование'}, {'name': 'Налоговое планирование'}, {'name': 'Управленческая отчетность'}]
Кладовщик-контролер;https://hh.ru/vacancy/31651369;31651369;35000;35000;Союз, ТД;Полный день;Полная занятость;От 1 года до 3 лет;[]
Дизайнер-верстальщик;https://hh.ru/vacancy/31074387;31074387;57000;57000;РИВ ГОШ, Сеть магазинов;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'Adobe Photoshop'}, {'name': 'Adobe Illustrator'}, {'name': 'CorelDRAW'}, {'name': 'Adobe InDesign'}]
